key,symbol,url
0,aagc,All-American-Gold-Corp-AAGC-20442
1,abhi,AmbiCom-Holdings-Inc-ABHI-16894
2,adtm,Adaptive-Medias-Inc-ADTM-18824
3,amfe,Amfil-Technologies-Inc-AMFE-12460
4,amlh,American-Leisure-Holdings-Inc-AMLH-29447
5,aphd,Appiphany-Technologies-Holdings-Corp-APHD-25054
6,avxl,Anavex-Life-Sciences-Corp-AVXL-11474
7,azfl,Amazonas-Florestal-Ltd-AZFL-25536
8,brvo,Bravo-Multinational-Inc-BRVO-16794
9,bvtk,Bravatek-Solutions-Inc-BVTK-17852
10,byoc,Beyond-Commerce-INC-BYOC-15218
11,cbyi,Cal-Bay-International-Inc-CBYI-5520
12,cnxs,Connexus-Corp-CNXS-17863
13,coho,Crednology-Holding-Corp-COHO-4899
14,cytr,Cytrx-Corp-CYTR-3392
15,dcth,Delcath-Systems-Inc-DCTH-3897
16,dolv,Dolat-Ventures-Inc-DOLV-16401
17,ecos,EcoloCap-Solutions-Inc-ECOS-347
18,eled,ExeLED-Holdings-Inc-ELED-27161
19,exold,EXOlifestyle-Inc-EXOL-11015
20,fern,Fernhill-Corporation-FERN-13682
21,hmpq,HempAmericana-Inc-HMPQ-29604
22,icnb,Iconic-Brands-Inc-ICNB-15837
23,ihsi,Intelligent-Highway-Solutions-Inc-IHSI-26561
24,ipix,Innovation-Pharmaceuticals-Inc-IPIX-12580
25,kget,CaliPharms-Inc-KGET-10313
26,lqmt,Liquidmetal-Technologies-LQMT-3856
27,mine,Minerco-Inc-MINE-17939
28,npwz,Neah-Power-Systems-Inc-NPWZ-7635
29,nwbo,NorthWest-Biotherapeutics-Inc-NWBO-3441
30,ocsy,Optium-Cyber-Systems-Inc-OCSY-10536
31,omvs,On-the-Move-Systems-Corp-OMVS-21568
32,onci,On4-Communications-Inc-ONCI-6203
33,ottv,Viva-Entertainment-Group-Inc-OTTV-25564
34,owcp,OWC-Pharmaceutical-Research-Corp-OWCP-16859
35,pgpm,Pilgrim-Petroleum-Corp-PGPM-5655
36,rdar,Raadr-Inc-RDAR-14382
37,rmrk,Rimrock-Gold-Corp-RMRK-17049
38,rtnb,Root9B-Holdings-Inc-RTNB-8167
39,sanp,Santo-Mining-Corp-SANP-24962
40,sfrx,Seafarer-Exploration-Corp-SFRX-5020
41,sigo,Sunset-Island-Group-Inc-SIGO-5724
42,stbv,Strategic-Global-Investments-Inc-STBV-14702
43,suti,SUTIMCo-International-Inc-SUTI-17155
44,uoip,UnifiedOnline-Inc-UOIP-5196
45,vdrm,ViaDerma-Inc-VDRM-14324
46,vpor,Vapor-Group-Inc-VPOR-18541
47,wmih,WMIH-Corp-WMIH-11133
48,xtrn,Las-Vegas-Railway-Express-XTRN-16650
49,cwir,Central-Wireless-Inc-CWIR-1695
